i, planning time [ms], traj_duration [s]
0, 0.032336, 13.8771
1, 0.008483, 13.8771
2, 0.01046, 13.8771
3, 0.013034, 13.8771
4, 0.008402, 13.8771
5, 0.008172, 13.8771
6, 0.016283, 13.8771
7, 0.008165, 13.8771
8, 0.008508, 13.8771
9, 0.008303, 13.8771
10, 0.011437, 13.8771
11, 0.008103, 13.8771
12, 0.012062, 13.8771
13, 0.012292, 13.8771
14, 0.014451, 13.8771
15, 0.015427, 13.8771
16, 0.008526, 13.8771
17, 0.012115, 13.8771
18, 0.008579, 13.8771
19, 0.008128, 13.8771
20, 0.008064, 13.8771
21, 0.009155, 13.8771
22, 0.008239, 13.8771
23, 0.008134, 13.8771
24, 0.007874, 13.8771
25, 0.014129, 13.8771
26, 0.009794, 13.8771
27, 0.00929, 13.8771
28, 0.008005, 13.8771
29, 0.012247, 13.8771
30, 0.010668, 13.8771
31, 0.010365, 13.8771
32, 0.01364, 13.8771
33, 0.010848, 13.8771
34, 0.010215, 13.8771
35, 0.009797, 13.8771
36, 0.009437, 13.8771
37, 0.009555, 13.8771
38, 0.009408, 13.8771
39, 0.012078, 13.8771
40, 0.010265, 13.8771
41, 0.009394, 13.8771
42, 0.00884, 13.8771
43, 0.009258, 13.8771
44, 0.008098, 13.8771
45, 0.009445, 13.8771
46, 0.008707, 13.8771
47, 0.012002, 13.8771
48, 0.009773, 13.8771
49, 0.012172, 13.8771
