i, planning time [ms], traj_duration [s]
0, 0.112111, 19.1901
1, 0.009967, 19.1901
2, 0.008117, 19.1901
3, 0.009993, 19.1901
4, 0.009296, 19.1901
5, 0.008698, 19.1901
6, 0.008681, 19.1901
7, 0.007067, 19.1901
8, 0.008513, 19.1901
9, 0.009843, 19.1901
10, 0.009958, 19.1901
11, 0.010098, 19.1901
12, 0.009532, 19.1901
13, 0.00997, 19.1901
14, 0.007507, 19.1901
15, 0.009312, 19.1901
16, 0.009446, 19.1901
17, 0.016687, 19.1901
18, 0.009335, 19.1901
19, 0.013236, 19.1901
20, 0.009789, 19.1901
21, 0.007602, 19.1901
22, 0.009605, 19.1901
23, 0.009877, 19.1901
24, 0.009619, 19.1901
25, 0.009785, 19.1901
26, 0.010295, 19.1901
27, 0.007337, 19.1901
28, 0.021768, 19.1901
29, 0.009944, 19.1901
30, 0.009523, 19.1901
31, 0.009193, 19.1901
32, 0.013192, 19.1901
33, 0.009392, 19.1901
34, 0.009752, 19.1901
35, 0.009475, 19.1901
36, 0.007321, 19.1901
37, 0.012181, 19.1901
38, 0.009157, 19.1901
39, 0.008955, 19.1901
40, 0.008852, 19.1901
41, 0.008995, 19.1901
42, 0.007346, 19.1901
43, 0.009684, 19.1901
44, 0.009081, 19.1901
45, 0.009295, 19.1901
46, 0.009146, 19.1901
47, 0.009242, 19.1901
48, 0.00713, 19.1901
49, 0.024833, 19.1901
