i, planning time [ms], traj_duration [s]
0, 0.11582, 22.8528
1, 0.00901, 22.8528
2, 0.005974, 22.8528
3, 0.00807, 22.8528
4, 0.007958, 22.8528
5, 0.00834, 22.8528
6, 0.007813, 22.8528
7, 0.008403, 22.8528
8, 0.005807, 22.8528
9, 0.006112, 22.8528
10, 0.008296, 22.8528
11, 0.007778, 22.8528
12, 0.008497, 22.8528
13, 0.00805, 22.8528
14, 0.007949, 22.8528
15, 0.010779, 22.8528
16, 0.007838, 22.8528
17, 0.032979, 22.8528
18, 0.008538, 22.8528
19, 0.008008, 22.8528
20, 0.008152, 22.8528
21, 0.009146, 22.8528
22, 0.006197, 22.8528
23, 0.00722, 22.8528
24, 0.006774, 22.8528
25, 0.008049, 22.8528
26, 0.011764, 22.8528
27, 0.008473, 22.8528
28, 0.005895, 22.8528
29, 0.008402, 22.8528
30, 0.008685, 22.8528
31, 0.008357, 22.8528
32, 0.008277, 22.8528
33, 0.007972, 22.8528
34, 0.008242, 22.8528
35, 0.008611, 22.8528
36, 0.007844, 22.8528
37, 0.006566, 22.8528
38, 0.008268, 22.8528
39, 0.054148, 22.8528
40, 0.010213, 22.8528
41, 0.008311, 22.8528
42, 0.00791, 22.8528
43, 0.006275, 22.8528
44, 0.010478, 22.8528
45, 0.008638, 22.8528
46, 0.008455, 22.8528
47, 0.008843, 22.8528
48, 0.00823, 22.8528
49, 0.006276, 22.8528
