i, planning time [ms], traj_duration [s]
0, 0.045834, 15.1518
1, 0.015521, 15.1518
2, 0.017763, 15.1518
3, 0.016302, 15.1518
4, 0.02441, 15.1518
5, 0.020584, 15.1518
6, 0.014747, 15.1518
7, 0.014866, 15.1518
8, 0.013835, 15.1518
9, 0.016499, 15.1518
10, 0.014661, 15.1518
11, 0.014518, 15.1518
12, 0.013437, 15.1518
13, 0.012181, 15.1518
14, 0.010372, 15.1518
15, 0.009996, 15.1518
16, 0.009067, 15.1518
17, 0.012491, 15.1518
18, 0.010431, 15.1518
19, 0.009673, 15.1518
20, 0.011082, 15.1518
21, 0.011263, 15.1518
22, 0.009748, 15.1518
23, 0.012478, 15.1518
24, 0.012977, 15.1518
25, 0.012325, 15.1518
26, 0.01031, 15.1518
27, 0.0107, 15.1518
28, 0.013491, 15.1518
29, 0.010279, 15.1518
30, 0.015248, 15.1518
31, 0.009747, 15.1518
32, 0.009909, 15.1518
33, 0.009312, 15.1518
34, 0.01054, 15.1518
35, 0.008926, 15.1518
36, 0.01008, 15.1518
37, 0.009811, 15.1518
38, 0.011877, 15.1518
39, 0.009413, 15.1518
40, 0.010706, 15.1518
41, 0.00963, 15.1518
42, 0.011242, 15.1518
43, 0.0092, 15.1518
44, 0.014836, 15.1518
45, 0.009496, 15.1518
46, 0.010264, 15.1518
47, 0.009383, 15.1518
48, 0.00882, 15.1518
49, 0.012401, 15.1518
