i, planning time [ms], traj_duration [s]
0, 5048.8, 0
1, 5034.65, 0
2, 5062.91, 0
3, 5039.78, 0
4, 5039.71, 0
5, 5031.64, 0
6, 5046.13, 0
7, 5041.48, 0
8, 5063.05, 0
9, 5062, 0
10, 5046.81, 0
11, 5048.15, 0
12, 5039.08, 0
13, 5059.21, 0
14, 5033.53, 0
15, 5064.74, 0
16, 5042.68, 0
17, 5048.21, 0
18, 5058.71, 0
19, 5065.03, 0
20, 5040.31, 0
21, 5089.38, 0
22, 5085.22, 0
23, 5087.76, 0
24, 5036.1, 0
25, 5057, 0
26, 5032.48, 0
27, 5042.34, 0
28, 5033.15, 0
29, 5064.51, 0
30, 5045.06, 0
31, 5054.66, 0
32, 5099.15, 0
33, 5029.03, 0
34, 5050.77, 0
35, 5050.28, 0
36, 5044.83, 0
37, 5047.62, 0
38, 5056.82, 0
39, 5061.38, 0
40, 5038.7, 0
41, 5085.71, 0
42, 5053.96, 0
43, 5042.64, 0
44, 5038.42, 0
45, 5049.82, 0
46, 5040.11, 0
47, 5041.02, 0
48, 5049.18, 0
49, 5057.81, 0
