i, planning time [ms], traj_duration [s]
0, 5052.41, 0
1, 5034.17, 0
2, 5043.3, 0
3, 5044.44, 0
4, 5076.59, 0
5, 5059.69, 0
6, 5038.77, 0
7, 5040.4, 0
8, 5044.39, 0
9, 5029.57, 0
10, 5040.85, 0
11, 5030.01, 0
12, 5058.91, 0
13, 5045.46, 0
14, 5041.49, 0
15, 5031.7, 0
16, 5048.34, 0
17, 5042.88, 0
18, 5051.43, 0
19, 5038.26, 0
20, 5041.89, 0
21, 5044.78, 0
22, 5044.7, 0
23, 5066.1, 0
24, 5028.29, 0
25, 5031.58, 0
26, 5060.45, 0
27, 5064.5, 0
28, 5036.46, 0
29, 5045.06, 0
30, 5064.61, 0
31, 5042.96, 0
32, 5078.98, 0
33, 5121.62, 0
34, 5158.4, 0
35, 5070.55, 0
36, 5059.39, 0
37, 5058.02, 0
38, 5052.73, 0
39, 5035.32, 0
40, 5046, 0
41, 5033.6, 0
42, 5037.49, 0
43, 5036.68, 0
44, 5075.47, 0
45, 5040.46, 0
46, 5069.59, 0
47, 5056.74, 0
48, 5061.54, 0
49, 5063.43, 0
