i, planning time [ms], traj_duration [s]
0, 5057.44, 0
1, 5045.92, 0
2, 5050.84, 0
3, 5054.89, 0
4, 5048.11, 0
5, 5033.57, 0
6, 5079.57, 0
7, 5043.64, 0
8, 5050.46, 0
9, 5043.93, 0
10, 5082.32, 0
11, 5062.56, 0
12, 5032.64, 0
13, 5066.03, 0
14, 5039.26, 0
15, 5066.96, 0
16, 5037, 0
17, 5052.14, 0
18, 5080.44, 0
19, 5045.21, 0
20, 5055.79, 0
21, 5051.71, 0
22, 5064.77, 0
23, 5051.64, 0
24, 5058.32, 0
25, 5058.82, 0
26, 5068.86, 0
27, 5064.46, 0
28, 5064.17, 0
29, 5046.97, 0
30, 5039.12, 0
31, 5048.23, 0
32, 5077.9, 0
33, 5090.11, 0
34, 5040.11, 0
35, 5052.98, 0
36, 5081.12, 0
37, 5039.66, 0
38, 5092.6, 0
39, 5042.58, 0
40, 5053.06, 0
41, 5154.81, 0
42, 5042.43, 0
43, 5107.12, 0
44, 5054.28, 0
45, 5072.44, 0
46, 5080.77, 0
47, 5061.04, 0
48, 5059.49, 0
49, 5072.71, 0
