i, planning time [ms], traj_duration [s]
0, 5096.11, 0
1, 5118.76, 0
2, 5057.24, 0
3, 5078.14, 0
4, 5124.68, 0
5, 5069.82, 0
6, 5094.7, 0
7, 5123.82, 0
8, 5090.9, 0
9, 5075.43, 0
10, 5089.64, 0
11, 5038.61, 0
12, 5061.38, 0
13, 5151.12, 0
14, 5121.84, 0
15, 5109.92, 0
16, 5107.7, 0
17, 5100.7, 0
18, 5044.64, 0
19, 5073.89, 0
20, 5062.23, 0
21, 5067.34, 0
22, 5144.86, 0
23, 5103.31, 0
24, 5096.56, 0
25, 5075.25, 0
26, 5114.98, 0
27, 5112.95, 0
28, 5116.37, 0
29, 5138.36, 0
30, 5103.05, 0
31, 5099.4, 0
32, 5111.16, 0
33, 5109.79, 0
34, 5073.5, 0
35, 5084.81, 0
36, 5089.94, 0
37, 5128.5, 0
38, 5094.72, 0
39, 5059.49, 0
40, 5039.46, 0
41, 5086.67, 0
42, 5097.86, 0
43, 5068.06, 0
44, 5098.77, 0
45, 5093.71, 0
46, 5050.87, 0
47, 5063.51, 0
48, 5073.24, 0
49, 5077.42, 0
