i, planning time [ms], traj_duration [s]
0, 5042.43, 6.19946
1, 5061.37, 7.11436
2, 5047.28, 7.25119
3, 5027.95, 6.13266
4, 5029.43, 8.23518
5, 5064.88, 6.26119
6, 5026.56, 6.64451
7, 5042.83, 7.57859
8, 5043.39, 7.54381
9, 5035.62, 6.29788
10, 5046.63, 6.17184
11, 5047.83, 6.20684
12, 5038.9, 8.40871
13, 5046.35, 6.4916
14, 5056.91, 6.14383
15, 5057.4, 6.54538
16, 5041.74, 6.16798
17, 5045.94, 7.44393
18, 5036.35, 6.17815
19, 5038.27, 7.0544
20, 5036.87, 6.08436
21, 5051.37, 6.1569
22, 5060.52, 6.16681
23, 5048.89, 7.13941
24, 5023.3, 6.20381
25, 5024.17, 7.19722
26, 5031.65, 6.8542
27, 5059.92, 6.25995
28, 5040.23, 6.09064
29, 5042.54, 6.22013
30, 5052.88, 6.73684
31, 5053.41, 6.10247
32, 5037.72, 6.21575
33, 5031.88, 6.26982
34, 5092.75, 6.67787
35, 5027.07, 6.16859
36, 5042.64, 6.18565
37, 5055.67, 6.33094
38, 5046.45, 6.11218
39, 5025.87, 6.20177
40, 5026.85, 6.2069
41, 5034.79, 6.21413
42, 5043.48, 6.16979
43, 5064.27, 7.37445
44, 5057.56, 7.23536
45, 5047.82, 6.20116
46, 5042.73, 6.15702
47, 5042.91, 7.99818
48, 5045.81, 6.88931
49, 5035.22, 6.38763
